,French,English
0,chercher,search
1,seulement,only
2,pensais,thought
3,demande,request
4,genre,kind
5,mois,month
6,frère,brother
7,laisser,let
8,car,because
9,laisse,leash
10,eux,them
11,ville,city
12,chaque,each
13,parlé,speak
14,arrivé,come
15,devrait,should
16,bébé,baby
17,longtemps,long time
18,heures,hours
19,pendant,while
20,revoir,meet again
21,aucune,any
22,parle,speak
23,compris,understood
24,étaient,were
25,attention,Warning
26,voici,here is
27,pourrais,could
28,leurs,their
29,train,train
30,corps,body
31,yeux,eyes
32,façon,way
33,écoute,listen
34,dont,whose
35,trouve,find
36,premier,first
37,perdu,lost
38,première,first
39,pouvoir,power
40,vieux,old
41,sois,be
42,tiens,here
43,enfant,child
44,venu,came
45,suite,after
46,venez,come
47,devant,in front of
48,vers,towards
49,minutes,minutes
50,demandé,request
51,mis,placed
52,belle,beautiful
53,droit,law
54,aimerais,would like to
55,mari,husband
56,cause,cause
57,enfin,finally
58,espère,hope
59,parti,left
60,boulot,job
61,dirait,would say
62,terre,Earth
63,compte,account
64,croire,believe
65,chérie,sweetheart
66,gros,large
67,plutôt,rather
68,aura,will have
69,filles,girls
70,jouer,to play
71,bureau,office
